Gene Name,Functional Category
Rv0004,conserved-hypothetical
Rv0021c,conserved-hypothetical
Rv0025,conserved-hypothetical
Rv0026,conserved-hypothetical
Rv0027,conserved-hypothetical
Rv0028,conserved-hypothetical
Rv0029,conserved-hypothetical
Rv0030,conserved-hypothetical
Rv0034,conserved-hypothetical
Rv0036c,conserved-hypothetical
Rv0038,conserved-hypothetical
Rv0047c,conserved-hypothetical
Rv0049,conserved-hypothetical
Rv0052,conserved-hypothetical
Rv0057,conserved-hypothetical
Rv0059,conserved-hypothetical
Rv0060,conserved-hypothetical
Rv0061c,conserved-hypothetical
Rv0074,conserved-hypothetical
Rv0078A,conserved-hypothetical
Rv0078B,conserved-hypothetical
Rv0079,conserved-hypothetical
Rv0080,conserved-hypothetical
Rv0100,conserved-hypothetical
Rv0104,conserved-hypothetical
Rv0106,conserved-hypothetical
Rv0108c,conserved-hypothetical
Rv0121c,conserved-hypothetical
Rv0122,conserved-hypothetical
Rv0123,conserved-hypothetical
Rv0138,conserved-hypothetical
Rv0140,conserved-hypothetical
Rv0141c,conserved-hypothetical
Rv0142,conserved-hypothetical
Rv0150c,conserved-hypothetical
Rv0157A,conserved-hypothetical
Rv0163,conserved-hypothetical
Rv0164,conserved-hypothetical
Rv0177,conserved-hypothetical
Rv0181c,conserved-hypothetical
Rv0184,conserved-hypothetical
Rv0185,conserved-hypothetical
Rv0190,conserved-hypothetical
Rv0192,conserved-hypothetical
Rv0193c,conserved-hypothetical
Rv0201c,conserved-hypothetical
Rv0207c,conserved-hypothetical
Rv0209,conserved-hypothetical
Rv0210,conserved-hypothetical
Rv0250c,conserved-hypothetical
Rv0257,conserved-hypothetical
Rv0258c,conserved-hypothetical
Rv0259c,conserved-hypothetical
Rv0263c,conserved-hypothetical
Rv0264c,conserved-hypothetical
Rv0268c,conserved-hypothetical
Rv0269c,conserved-hypothetical
Rv0272c,conserved-hypothetical
Rv0274,conserved-hypothetical
Rv0276,conserved-hypothetical
Rv0293c,conserved-hypothetical
Rv0295c,conserved-hypothetical
Rv0298,conserved-hypothetical
Rv0299,conserved-hypothetical
Rv0307c,conserved-hypothetical
Rv0310c,conserved-hypothetical
Rv0311,conserved-hypothetical
Rv0312,conserved-hypothetical
Rv0313,conserved-hypothetical
Rv0323c,conserved-hypothetical
Rv0329c,conserved-hypothetical
Rv0330c,conserved-hypothetical
Rv0332,conserved-hypothetical
Rv0333,conserved-hypothetical
Rv0340,conserved-hypothetical
Rv0345,conserved-hypothetical
Rv0349,conserved-hypothetical
Rv0356c,conserved-hypothetical
Rv0358,conserved-hypothetical
Rv0360c,conserved-hypothetical
Rv0365c,conserved-hypothetical
Rv0366c,conserved-hypothetical
Rv0367c,conserved-hypothetical
Rv0368c,conserved-hypothetical
Rv0371c,conserved-hypothetical
Rv0372c,conserved-hypothetical
Rv0376c,conserved-hypothetical
Rv0378,conserved-hypothetical
Rv0381c,conserved-hypothetical
Rv0387c,conserved-hypothetical
Rv0390,conserved-hypothetical
Rv0395,conserved-hypothetical
Rv0396,conserved-hypothetical
Rv0397A,conserved-hypothetical
Rv0406c,conserved-hypothetical
Rv0421c,conserved-hypothetical
Rv0424c,conserved-hypothetical
Rv0430,conserved-hypothetical
